D01 | Datos del registro | Resolver antes: S1 | ¿Todos los campos personales son obligatorios y qué opciones/validaciones se esperan? | Propuesta NO confirmada: Conservar los campos de la consigna, sin inventar obligatoriedad ni usar tipo de sangre como regla comercial.
D02 | Pago | Resolver antes: S2 | ¿Pago simulado o pasarela real, qué métodos y moneda? | Propuesta NO confirmada: Demostración con pago simulado hasta confirmación; nunca presentar esa decisión como exigencia del correo.
D03 | Edad e invitados | Resolver antes: S2 | ¿Cómo se acredita edad sin cuenta y cómo se interpreta la leyenda de adulto para +13/+18? | Propuesta NO confirmada: Solicitar nacimiento también al invitado; no permitir que acompañamiento adulto eluda el bloqueo explícito del correo.
D04 | Mismo QR para cine y candy | Resolver antes: S3 | ¿El consumo es independiente para ingreso y candy? ¿Permite entregas o ingresos parciales en compras múltiples? | Propuesta NO confirmada: Un QR con derechos separados; consumir cine no anula candy y viceversa. Esto concilia C04 con C05, pero requiere validación.
D05 | Precios y descuentos | Resolver antes: S3; precio VIP en S2 | ¿Los cupones se acumulan, cubren candy/combos/VIP/preventa y qué ocurre con cupones ya emitidos al cambiar el porcentaje? | Propuesta NO confirmada: Un cupón por compra, política versionada y resumen de cálculo explícito; no implementarlo como regla confirmada sin acordarlo.
D06 | Reseñas | Resolver antes: S3 | ¿Se requiere cuenta/compra previa, cuántas reseñas por persona, escala de estrellas y máximo de comentario? | Propuesta NO confirmada: 1 a 5 estrellas, hasta 280 caracteres y una reseña editable por cuenta/película, a validar.
D07 | Rankings | Resolver antes: S3 y S5 | ¿Top 3 histórico o por período? ¿Más vistas cuenta entradas vendidas o ingresos validados? | Propuesta NO confirmada: Top 3 por entradas confirmadas netas de cancelación; vistas por ingresos validados, sujeto a aprobación.
D08 | Programación de funciones | Resolver antes: S2 | ¿Qué rango de fechas tiene una recurrencia y todas las salas admiten 2D/3D/4D/5D? | Propuesta NO confirmada: Rango inicio/fin explícito y capacidades por sala si corresponde; no generar recurrencia indefinida.
D09 | Distribución accesible | Resolver antes: S2 | ¿J y K se sustituyen por una única fila de 14 lugares? ¿Cómo se etiqueta? | Propuesta NO confirmada: 18 filas regulares x 28 + 14 accesibles = 518 lugares. R/S/T aportan 84 VIP dentro de ese total, sin sumar capacidad. Confirmar antes de modelar.
D10 | Contabilidad y reportes | Resolver antes: S3; revisar S5 | ¿Cómo se computan descuentos, créditos, canjes, cancelaciones y combos? ¿Zona horaria y corte del día? | Propuesta NO confirmada: Separar cobros, crédito emitido/usado y canjes; definir facturación antes de comparar totales.
D11 | Puntos | Resolver antes: S4 | ¿Se calculan sobre importe neto, cómo se redondean centavos y qué ocurre al pagar con crédito/canjear/cancelar? | Propuesta NO confirmada: No duplicar puntos por reutilizar crédito; registrar movimientos reversibles y acordar base/redondeo.
D12 | Alertas | Resolver antes: S4 | ¿Notificación por email, push PWA o dentro de la app? ¿Requiere registro? | Propuesta NO confirmada: Elegir un canal y definir consentimiento y recuperación de fallos antes de implementar.
D13 | Preventa | Resolver antes: S4 | ¿Finaliza al estreno o en otra fecha configurable? ¿Se configura también la anticipación de 7 días? | Propuesta NO confirmada: Inicio por defecto estreno menos 7 días; fin explícito por película, a validar.
D14 | Mis películas | Resolver antes: S4 | ¿Vista significa función pasada o ingreso efectivamente validado? | Propuesta NO confirmada: Usar ingreso validado y no mostrar compras canceladas como películas vistas.
D15 | Cancelación | Resolver antes: S5 | ¿Cómo recibe crédito un invitado? ¿Se cancela compra completa o por ítem? ¿Qué sucede con candy retirado, canjes y puntos? | Propuesta NO confirmada: Exigir vinculación segura a una cuenta para crédito; definir cancelación de derechos consumidos y restauración de beneficios antes de desarrollar.
